
















****** Medicine_Department ******
***** Saturday, January 22, 2022 *****



**** Revised conference schedule "2022 Clinical Problem solving ****
 
Please refer to the changes shared below in our initial conference schedule
shared here:  http://medicinedepartment.blogspot.com/2021/12/medicine-
conference-on-theme-clinical.html?m=1

To accommodate our US experts so that they can finish and go to sleep we are
starting with them at 8:00 AM and as our keynote speaker, Prof Anand has to
return to his meeting in IIT Chennai (which he is having to break from to
attend ours) we shall also let Prof Anand have the first speech.

So the revised order of conference speakers is:

US Experts first at 8:00 AM,  25th January 2020 👇

Prof Michele Meltzer online from Philadelphia 

Prof Binod Dhakal online from Wisconsin 

Followed by Prof Akshay Anand's keynote offline at Narketpally 

Followed by Dr. Aashita offline at Narketpally (and expert Dr Kaushik Sundar
 Neurologist online from Kolkata) 

And then accompanied by offline moderators (Faculty of Medicine along with
guest faculty already detailed in the original link here : http://
medicinedepartment.blogspot.com/2021/12/medicine-conference-on-theme-
clinical.html?m=1) we have next in the list of day speakers: 

Dr Rashmita offline at Narketpally 

Dr A Vaishnavi offline at Narketpally 

Dr K Vaishnavi offline at Narketpally 

Post lunch 👇

Dr Nikita (along with expert Dr Usha offline) at Narketpally 

Dr Ajit offline at Narketpally (along with expert Prof Preeti Nair online from
Bhopal) 

Dr Susmitha  (along with expert Dr Usha offline) at Narketpally 

Dr Ushashree (along with expert Dr Usha offline) at Narketpally 

Dr Divya (along with expert Dr Usha offline) at Narketpally 

Dr Zain (along with expert Dr Usha offline) at Narketpally 

Followed by 

Prize distribution 

Vote of thanks

[https://blogger.googleusercontent.com/img/a/
AVvXsEjfvItP3Cp8scjDqfjqiFnnbmAu54ccZnZelm7uaQyDyPZpmE0oZsmtBVvoE6VLMnyQ3aRkYgbv9eg0OgBU1YRYgMO_fVf9XO_PkREmE2R_sIjorcyRYfOjagdBglJP7Th-
9KVVFoJgDRBalewbzWXGG1ty_ljuWC9yTpCBolUidxLj9i4wl_8MRfNM=w406-h640]


 Posted by
 caregiver7careseeker    at
 9:32 PM
Email_ThisBlogThis!Share_to_TwitterShare_to_FacebookShare_to_Pinterest


*** No comments: ***
*** Post a Comment ***

 Newer_Post   Older_Post  Home
Subscribe to: Post_Comments_(Atom)

***** About Me *****
  caregiver7careseeker
View_my_complete_profile
***** Blog Archive *****
    * _▼ _ 2022 (44)
          o _► _ December (3)
          o _► _ November (3)
          o _► _ October (5)
          o _► _ September (3)
          o _► _ August (7)
          o _► _ July (6)
          o _► _ June (5)
          o _► _ May (2)
          o _► _ April (1)
          o _► _ March (3)
          o _► _ February (1)
          o _▼ _ January (5)
                # Revised_conference_schedule_"2022_Clinical_Problem...
                # List_of_specially_invited_delegates_to_the_2022_Cl...
                # Clinical_problem_solving_Prize_Jan_2022_monthly_as...
                # Sample_"clinical_problem_solving_logs"_from_2020-21.
                # Inviting_potential_prize_winners_and_delegates_for...
    * _► _ 2021 (92)
          o _► _ December (3)
          o _► _ November (8)
          o _► _ October (4)
          o _► _ September (5)
          o _► _ August (5)
          o _► _ July (6)
          o _► _ June (21)
          o _► _ May (3)
          o _► _ April (6)
          o _► _ March (16)
          o _► _ February (14)
          o _► _ January (1)
    * _► _ 2020 (49)
          o _► _ December (1)
          o _► _ November (3)
          o _► _ October (1)
          o _► _ September (5)
          o _► _ August (2)
          o _► _ July (11)
          o _► _ June (5)
          o _► _ May (16)
          o _► _ February (1)
          o _► _ January (4)
    * _► _ 2019 (2)
          o _► _ February (1)
          o _► _ January (1)
    * _► _ 2018 (3)
          o _► _ November (2)
          o _► _ January (1)
    * _► _ 2016 (14)
          o _► _ December (5)
          o _► _ November (9)
Simple theme. Powered by Blogger.

